StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID    
D0           d            40.0         50.0         0.0          0.0          3390.0       0.0          0            
S0           f            40.0         50.0         0.0          0.0          3390.0       0.0          0            
S1           f            73.0         52.0         0.0          0.0          3390.0       0.0          0            
S2           f            90.0         55.0         0.0          0.0          3390.0       0.0          0            
S3           f            55.0         79.0         0.0          0.0          3390.0       0.0          0            
S4           f            69.0         89.0         0.0          0.0          3390.0       0.0          0            
S5           f            32.0         80.0         0.0          0.0          3390.0       0.0          0            
S6           f            39.0         96.0         0.0          0.0          3390.0       0.0          0            
S7           f            23.0         80.0         0.0          0.0          3390.0       0.0          0            
S8           f            4.0          83.0         0.0          0.0          3390.0       0.0          0            
S9           f            18.0         58.0         0.0          0.0          3390.0       0.0          0            
S10          f            1.0          56.0         0.0          0.0          3390.0       0.0          0            
S11          f            13.0         31.0         0.0          0.0          3390.0       0.0          0            
S12          f            -5.0         38.0         0.0          0.0          3390.0       0.0          0            
S13          f            26.0         37.0         0.0          0.0          3390.0       0.0          0            
S14          f            28.0         13.0         0.0          0.0          3390.0       0.0          0            
S15          f            39.0         31.0         0.0          0.0          3390.0       0.0          0            
S16          f            48.0         11.0         0.0          0.0          3390.0       0.0          0            
S17          f            59.0         17.0         0.0          0.0          3390.0       0.0          0            
S18          f            73.0         23.0         0.0          0.0          3390.0       0.0          0            
S19          f            74.0         32.0         0.0          0.0          3390.0       0.0          0            
S20          f            90.0         44.0         0.0          0.0          3390.0       0.0          0            
C1           cp           52.0         75.0         10.0         231.0        551.0        90.0         C100         
C2           cp           45.0         70.0         30.0         133.0        453.0        90.0         C7           
C3           cp           62.0         69.0         10.0         1087.0       1407.0       90.0         C89          
C4           cp           60.0         66.0         10.0         1181.0       1501.0       90.0         C77          
C5           cp           42.0         65.0         10.0         15.0         335.0        90.0         C99          
C6           cp           16.0         42.0         20.0         417.0        737.0        90.0         C17          
C7           cd           58.0         70.0         -30.0        993.0        1313.0       90.0         C2           
C8           cd           34.0         60.0         -10.0        2807.0       3127.0       90.0         C10          
C9           cd           28.0         70.0         -10.0        2521.0       2841.0       90.0         C14          
C10          cp           35.0         66.0         10.0         2711.0       3031.0       90.0         C8           
C11          cp           35.0         69.0         10.0         2618.0       2938.0       90.0         C21          
C12          cd           25.0         85.0         -10.0        2039.0       2359.0       90.0         C19          
C13          cd           22.0         75.0         -30.0        2325.0       2645.0       90.0         C38          
C14          cp           22.0         85.0         10.0         1946.0       2266.0       90.0         C9           
C15          cd           20.0         80.0         -10.0        2136.0       2456.0       90.0         C35          
C16          cp           20.0         85.0         40.0         1854.0       2174.0       0.0          C101         
C17          cd           18.0         75.0         -20.0        2231.0       2551.0       90.0         C6           
C18          cp           15.0         75.0         20.0         1662.0       1982.0       90.0         C25          
C19          cp           15.0         80.0         10.0         1757.0       2077.0       90.0         C12          
C20          cp           30.0         50.0         10.0         10.0         330.0        90.0         C27          
C21          cd           30.0         56.0         -10.0        2903.0       3223.0       90.0         C11          
C22          cp           28.0         52.0         20.0         12.0         332.0        90.0         C39          
C23          cd           14.0         66.0         -20.0        1563.0       1883.0       90.0         C31          
C24          cp           25.0         50.0         10.0         36.0         356.0        90.0         C34          
C25          cd           22.0         66.0         -20.0        2424.0       2744.0       90.0         C18          
C26          cd           8.0          62.0         -10.0        1465.0       1785.0       90.0         C36          
C27          cd           23.0         52.0         -10.0        129.0        449.0        90.0         C20          
C28          cd           4.0          55.0         -20.0        1367.0       1687.0       90.0         C37          
C29          cp           20.0         50.0         10.0         318.0        638.0        90.0         C33          
C30          cp           20.0         55.0         10.0         223.0        543.0        90.0         C32          
C31          cp           10.0         35.0         20.0         701.0        1021.0       90.0         C23          
C32          cd           10.0         40.0         -10.0        513.0        833.0        90.0         C30          
C33          cd           8.0          40.0         -10.0        605.0        925.0        90.0         C29          
C34          cd           8.0          45.0         -10.0        1266.0       1586.0       90.0         C24          
C35          cp           5.0          35.0         10.0         796.0        1116.0       90.0         C15          
C36          cp           5.0          45.0         10.0         1173.0       1493.0       90.0         C26          
C37          cp           2.0          40.0         20.0         891.0        1211.0       90.0         C28          
C38          cp           0.0          40.0         30.0         983.0        1303.0       90.0         C13          
C39          cd           0.0          45.0         -20.0        1078.0       1398.0       90.0         C22          
C40          cd           36.0         18.0         -20.0        1739.0       2059.0       90.0         C62          
C41          cd           35.0         32.0         -10.0        2678.0       2998.0       90.0         C50          
C42          cd           33.0         32.0         -10.0        2586.0       2906.0       90.0         C52          
C43          cd           33.0         35.0         -20.0        2493.0       2813.0       90.0         C60          
C44          cd           32.0         20.0         -10.0        1833.0       2153.0       90.0         C49          
C45          cd           30.0         30.0         -30.0        2025.0       2345.0       90.0         C46          
C46          cp           34.0         25.0         30.0         1929.0       2249.0       90.0         C45          
C47          cd           30.0         35.0         -20.0        2400.0       2720.0       90.0         C53          
C48          cd           36.0         40.0         -10.0        2776.0       3096.0       90.0         C61          
C49          cp           48.0         20.0         10.0         887.0        1207.0       90.0         C44          
C50          cp           26.0         32.0         10.0         2212.0       2532.0       90.0         C41          
C51          cd           25.0         30.0         -10.0        2120.0       2440.0       90.0         C59          
C52          cp           25.0         35.0         10.0         2305.0       2625.0       90.0         C42          
C53          cp           44.0         5.0          20.0         1176.0       1496.0       90.0         C47          
C54          cp           42.0         10.0         40.0         1080.0       1400.0       90.0         C58          
C55          cp           42.0         15.0         10.0         985.0        1305.0       90.0         C57          
C56          cd           40.0         5.0          -10.0        1270.0       1590.0       90.0         C66          
C57          cd           38.0         15.0         -10.0        1645.0       1965.0       90.0         C55          
C58          cd           38.0         5.0          -40.0        1362.0       1682.0       90.0         C54          
C59          cp           38.0         10.0         10.0         1550.0       1870.0       90.0         C51          
C60          cp           35.0         5.0          20.0         1455.0       1775.0       90.0         C43          
C61          cp           50.0         30.0         10.0         321.0        641.0        90.0         C48          
C62          cp           50.0         35.0         20.0         40.0         360.0        90.0         C40          
C63          cd           50.0         40.0         -10.0        14.0         334.0        90.0         C67          
C64          cd           48.0         30.0         -10.0        413.0        733.0        90.0         C72          
C65          cd           44.0         25.0         -50.0        791.0        1111.0       90.0         C74          
C66          cp           47.0         35.0         10.0         508.0        828.0        90.0         C56          
C67          cp           47.0         40.0         10.0         12.0         332.0        90.0         C63          
C68          cd           42.0         30.0         -10.0        696.0        1016.0       90.0         C69          
C69          cp           45.0         35.0         10.0         600.0        920.0        90.0         C68          
C70          cd           95.0         30.0         -10.0        2241.0       2561.0       90.0         C76          
C71          cp           95.0         35.0         20.0         2146.0       2466.0       90.0         C87          
C72          cp           53.0         30.0         10.0         228.0        548.0        90.0         C64          
C73          cd           92.0         30.0         -20.0        2334.0       2654.0       90.0         C82          
C74          cp           53.0         35.0         50.0         133.0        453.0        90.0         C65          
C75          cp           45.0         65.0         20.0         38.0         358.0        90.0         C95          
C76          cp           90.0         35.0         10.0         2051.0       2371.0       90.0         C70          
C77          cd           72.0         45.0         -10.0        2820.0       3140.0       90.0         C4           
C78          cd           78.0         40.0         -10.0        2722.0       3042.0       90.0         C79          
C79          cp           87.0         30.0         10.0         2528.0       2848.0       90.0         C78          
C80          cp           85.0         25.0         10.0         2433.0       2753.0       90.0         C90          
C81          cp           85.0         35.0         30.0         2623.0       2943.0       0.0          C102         
C82          cp           75.0         55.0         20.0         1845.0       2165.0       90.0         C73          
C83          cd           72.0         55.0         -30.0        1752.0       2072.0       90.0         C88          
C84          cp           70.0         58.0         20.0         1561.0       1881.0       90.0         C85          
C85          cd           86.0         46.0         -20.0        1949.0       2269.0       90.0         C84          
C86          cp           66.0         55.0         10.0         1656.0       1976.0       90.0         C96          
C87          cd           64.0         46.0         -20.0        2955.0       3275.0       90.0         C71          
C88          cp           65.0         60.0         30.0         1466.0       1786.0       90.0         C83          
