StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID    
D0           d            40.0         50.0         0.0          0.0          960.0        0.0          0            
S0           f            40.0         50.0         0.0          0.0          960.0        0.0          0            
S1           f            73.0         52.0         0.0          0.0          960.0        0.0          0            
S2           f            90.0         55.0         0.0          0.0          960.0        0.0          0            
S3           f            55.0         79.0         0.0          0.0          960.0        0.0          0            
S4           f            69.0         89.0         0.0          0.0          960.0        0.0          0            
S5           f            32.0         80.0         0.0          0.0          960.0        0.0          0            
S6           f            39.0         96.0         0.0          0.0          960.0        0.0          0            
S7           f            23.0         80.0         0.0          0.0          960.0        0.0          0            
S8           f            4.0          83.0         0.0          0.0          960.0        0.0          0            
S9           f            18.0         58.0         0.0          0.0          960.0        0.0          0            
S10          f            1.0          56.0         0.0          0.0          960.0        0.0          0            
S11          f            13.0         31.0         0.0          0.0          960.0        0.0          0            
S12          f            -5.0         38.0         0.0          0.0          960.0        0.0          0            
S13          f            26.0         37.0         0.0          0.0          960.0        0.0          0            
S14          f            28.0         13.0         0.0          0.0          960.0        0.0          0            
S15          f            39.0         31.0         0.0          0.0          960.0        0.0          0            
S16          f            48.0         11.0         0.0          0.0          960.0        0.0          0            
S17          f            59.0         17.0         0.0          0.0          960.0        0.0          0            
S18          f            73.0         23.0         0.0          0.0          960.0        0.0          0            
S19          f            74.0         32.0         0.0          0.0          960.0        0.0          0            
S20          f            90.0         44.0         0.0          0.0          960.0        0.0          0            
C1           cd           25.0         85.0         -20.0        0.0          911.0        10.0         C5           
C2           cd           22.0         75.0         -10.0        0.0          919.0        10.0         C8           
C3           cp           22.0         85.0         10.0         0.0          910.0        10.0         C44          
C4           cp           20.0         80.0         40.0         644.0        764.0        10.0         C70          
C5           cp           20.0         85.0         20.0         0.0          909.0        10.0         C1           
C6           cp           18.0         75.0         20.0         388.0        508.0        10.0         C43          
C7           cd           15.0         75.0         -10.0        0.0          914.0        10.0         C13          
C8           cp           15.0         80.0         10.0         367.0        487.0        10.0         C2           
C9           cd           10.0         35.0         -28.0        371.0        491.0        10.0         C86          
C10          cp           10.0         40.0         30.0         519.0        639.0        10.0         C97          
C11          cd           8.0          40.0         -10.0        195.0        315.0        10.0         C47          
C12          cp           8.0          45.0         20.0         0.0          917.0        10.0         C48          
C13          cp           5.0          35.0         10.0         653.0        773.0        10.0         C7           
C14          cp           5.0          45.0         10.0         35.0         155.0        10.0         C60          
C15          cp           2.0          40.0         20.0         174.0        294.0        10.0         C100         
C16          cd           0.0          40.0         -5.0         255.0        375.0        10.0         C73          
C17          cd           0.0          45.0         -13.0        703.0        823.0        10.0         C87          
C18          cp           44.0         5.0          20.0         335.0        455.0        10.0         C51          
C19          cp           42.0         10.0         40.0         254.0        374.0        10.0         C59          
C20          cd           42.0         15.0         -8.0         537.0        657.0        10.0         C72          
C21          cd           40.0         5.0          -10.0        0.0          905.0        10.0         C32          
C22          cd           40.0         15.0         -16.0        375.0        495.0        10.0         C65          
C23          cd           38.0         5.0          -27.0        201.0        321.0        10.0         C69          
C24          cd           38.0         15.0         -20.0        681.0        801.0        10.0         C41          
C25          cd           35.0         5.0          -9.0         784.0        904.0        10.0         C67          
C26          cd           95.0         30.0         -10.0        0.0          891.0        10.0         C28          
C27          cp           95.0         35.0         20.0         146.0        266.0        10.0         C91          
C28          cp           92.0         30.0         10.0         149.0        269.0        10.0         C26          
C29          cd           90.0         35.0         -10.0        194.0        314.0        10.0         C33          
C30          cp           88.0         30.0         10.0         246.0        366.0        10.0         C83          
C31          cp           88.0         35.0         20.0         0.0          899.0        10.0         C34          
C32          cp           87.0         30.0         10.0         621.0        741.0        10.0         C21          
C33          cp           85.0         25.0         10.0         80.0         200.0        10.0         C29          
C34          cd           85.0         35.0         -20.0        0.0          902.0        10.0         C31          
C35          cd           67.0         85.0         -10.0        657.0        777.0        10.0         C46          
C36          cp           65.0         85.0         40.0         43.0         163.0        10.0         C99          
C37          cd           65.0         82.0         -10.0        0.0          909.0        10.0         C42          
C38          cd           62.0         80.0         -6.0         278.0        398.0        10.0         C95          
C39          cp           60.0         80.0         10.0         64.0         184.0        10.0         C61          
C40          cp           60.0         85.0         30.0         329.0        449.0        10.0         C49          
C41          cp           58.0         75.0         20.0         376.0        496.0        10.0         C24          
C42          cp           55.0         80.0         10.0         33.0         153.0        10.0         C37          
C43          cd           55.0         85.0         -20.0        574.0        694.0        10.0         C6           
C44          cd           55.0         82.0         -10.0        217.0        337.0        10.0         C3           
C45          cd           20.0         82.0         -9.0         37.0         157.0        10.0         C98          
C46          cp           18.0         80.0         10.0         489.0        609.0        10.0         C35          
C47          cp           2.0          45.0         10.0         105.0        225.0        10.0         C11          
C48          cd           42.0         5.0          -20.0        0.0          904.0        10.0         C12          
C49          cd           42.0         12.0         -30.0        440.0        560.0        10.0         C40          
C50          cd           72.0         35.0         -10.0        0.0          914.0        10.0         C81          
C51          cd           55.0         20.0         -20.0        326.0        446.0        10.0         C18          
C52          cd           25.0         30.0         -31.0        0.0          925.0        10.0         C76          
C53          cp           20.0         50.0         5.0          375.0        495.0        10.0         C94          
C54          cd           55.0         60.0         -16.0        601.0        721.0        10.0         C55          
C55          cp           30.0         60.0         16.0         599.0        719.0        10.0         C54          
C56          cd           50.0         35.0         -6.0         557.0        677.0        10.0         C90          
C57          cd           30.0         25.0         -17.0        397.0        517.0        10.0         C64          
C58          cp           15.0         10.0         20.0         782.0        902.0        0.0          C102         
C59          cd           10.0         20.0         -40.0        0.0          907.0        10.0         C19          
C60          cd           15.0         60.0         -10.0        694.0        814.0        10.0         C14          
C61          cd           45.0         65.0         -10.0        258.0        378.0        10.0         C39          
C62          cp           65.0         35.0         3.0          167.0        287.0        10.0         C77          
C63          cd           65.0         20.0         -14.0        39.0         159.0        10.0         C92          
C64          cp           45.0         30.0         17.0         191.0        311.0        10.0         C57          
C65          cp           35.0         40.0         16.0         11.0         131.0        10.0         C22          
C66          cd           41.0         37.0         -18.0        566.0        686.0        10.0         C84          
C67          cp           64.0         42.0         9.0          268.0        388.0        10.0         C25          
C68          cp           40.0         60.0         21.0         612.0        732.0        0.0          C101         
C69          cp           31.0         52.0         27.0         157.0        277.0        10.0         C23          
C70          cd           35.0         69.0         -40.0        810.0        930.0        10.0         C4           
C71          cd           65.0         55.0         -2.0         241.0        361.0        10.0         C85          
C72          cp           63.0         65.0         8.0          0.0          922.0        10.0         C20          
C73          cp           2.0          60.0         5.0          286.0        406.0        10.0         C16          
C74          cd           20.0         20.0         -9.0         645.0        765.0        10.0         C82          
C75          cd           5.0          5.0          -25.0        0.0          892.0        10.0         C89          
C76          cp           60.0         12.0         31.0         268.0        388.0        10.0         C52          
C77          cd           23.0         3.0          -3.0         764.0        884.0        10.0         C62          
C78          cp           8.0          56.0         27.0         365.0        485.0        10.0         C96          
C79          cd           6.0          68.0         -19.0        352.0        472.0        10.0         C88          
C80          cd           47.0         47.0         -3.0         822.0        942.0        10.0         C93          
C81          cp           49.0         58.0         10.0         355.0        475.0        10.0         C50          
C82          cp           27.0         43.0         9.0          0.0          935.0        10.0         C74          
C83          cd           37.0         31.0         -10.0        0.0          930.0        10.0         C30          
C84          cp           57.0         29.0         18.0         395.0        515.0        10.0         C66          
C85          cp           63.0         23.0         2.0          0.0          914.0        10.0         C71          
C86          cp           21.0         24.0         28.0         349.0        469.0        10.0         C9           
C87          cp           12.0         24.0         13.0         359.0        479.0        10.0         C17          
C88          cp           24.0         58.0         19.0         260.0        380.0        10.0         C79          
C89          cp           67.0         5.0          25.0         713.0        833.0        10.0         C75          
C90          cp           37.0         47.0         6.0          359.0        479.0        10.0         C56          
C91          cd           49.0         42.0         -20.0        0.0          937.0        10.0         C27          
